STRASSE,HAUSNUMMER,PLZ,ORT,LAT,LON,SOURCE,OSM_ID
Martin-Luther-Straße,8,9560,Waiern,46.7322756,14.0844814,node,5373662025
Dr.-W.-Domenig-Weg,37,9560,Waiern,46.7278553,14.0823197,node,5373662038
Dr.-W.-Domenig-Weg,31,9560,Waiern,46.7276131,14.082505,node,5373662039
Dr.-W.-Domenig-Weg,41,9560,Waiern,46.7283515,14.0832791,node,5373662040
Dr.-W.-Domenig-Weg,39,9560,Waiern,46.7282139,14.0829413,node,5373662041
Dr.-W.-Domenig-Weg,35,9560,Waiern,46.7280074,14.0826286,node,5373662042
Dr.-W.-Domenig-Weg,33,9560,Waiern,46.7280055,14.0831396,node,5373662043
Dr.-W.-Domenig-Weg,29,9560,Waiern,46.7277865,14.0828486,node,5373662044
Lastenstraße,4,9560,Laboisen,46.7183582,14.0991094,node,5373662045
Seeblick,34,9560,St. Ruprecht,46.7249015,14.1108953,node,5392889959
Seeblick,14,9560,St. Ruprecht,46.7241371,14.1117092,node,5392889960
,7,9560,Poitschach,46.7521784,14.0943354,node,5392889963
,67,9560,Feistritz,46.7536891,14.1011387,node,5392889981
,30a,9560,Feistritz,46.7532649,14.1007236,node,5392889983
Wimitzer Straße,13,9560,St. Ulrich,46.7527313,14.1082928,node,5392890154
Wimitzer Straße,22,9560,St. Ulrich,46.7628211,14.1099865,node,5392890155
,24a,9560,Lendorf,46.728949,14.1069826,node,5392890159
Rangetinerstraße,17,9560,St. Ruprecht,46.7232792,14.1090714,node,5392890160
Seeblick,21,9560,St. Ruprecht,46.7247072,14.1119324,node,5392890161
Höhenstraße,16,9560,St. Ruprecht,46.7216439,14.1098423,node,5392890162
,8,9560,Weit,46.7456347,14.1313801,node,5392890163
,6,9560,Weit,46.738943,14.1317527,node,5392890168
,2,9560,Persching,46.7155694,14.1245567,node,5392890173
,2,9560,Glan,46.7269949,14.1388735,node,5392890193
,8,9560,Glan,46.7242761,14.1354457,node,5392890194
Finkenweg,7a,9560,Haiden,46.7447546,14.1025287,node,5393201212
Finkenweg,7,9560,Haiden,46.7446337,14.1024656,node,5393201213
Finkenweg,9,9560,Haiden,46.7445122,14.1025857,node,5393201214
Finkenweg,9a,9560,Haiden,46.7447316,14.1027003,node,5393201215
Pfarrhofweg,33,9560,St. Ulrich,46.7550698,14.1174017,node,5393209421
Bergacker,30,9560,St. Ulrich,46.7521196,14.1175173,node,5393209430
Bachweg,9,9560,St. Ulrich,46.7504197,14.1120459,node,5393209436
